,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
217,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Mobile
218,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,No,Public,Rural,Female,Yes,Computer
219,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Public,Rural,Male,No,Computer
220,Hons or Grater,25.0,No,Yes,No,Yes,Urban,No,Mobile Internet,6,4,No,Public,Rural,Male,Yes,Computer
221,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,No,Private,Rural,Female,Yes,Computer
222,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,4,No,Private,Rural,Male,No,Computer
223,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,4,Yes,Private,Rural,Female,Yes,Computer
224,Upto HSC,,Yes,,Yes,No,,Yes,Broadband,6,3,Yes,,,,No,Computer
225,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Private,Urban,Female,No,Computer
226,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Male,Yes,Computer
227,Upto HSC,17.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,No,Computer
228,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,No,Broadband,3,2,No,Public,Rural,Male,,Mobile
229,Hons or Grater,,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Private,Urban,Male,Yes,Mobile
230,Hons or Grater,,Yes,Yes,No,No,,No,Broadband,4,2,No,,,,No,Computer
231,Hons or Grater,,Yes,Yes,No,Yes,,Yes,Broadband,4,4,No,,,,Yes,Mobile
232,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Private,Urban,Male,Yes,Mobile
233,Hons or Grater,25.0,,Yes,No,No,,Yes,Broadband,5,3,Yes,,Urban,Male,Yes,Mobile
234,Upto HSC,19.0,,,No,No,,Yes,Broadband,4,3,Yes,Public,,,No,Computer
235,Hons or Grater,25.0,No,Yes,Yes,No,Urban,No,Mobile Internet,6,2,No,Public,Rural,Male,,Computer
236,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,,,,Yes,Computer
237,Hons or Grater,,,Yes,No,No,Urban,Yes,Broadband,4,3,No,,,,No,Mobile
238,Hons or Grater,,Yes,Yes,No,No,,Yes,Broadband,3,3,Yes,Private,Rural,Female,Yes,Computer
239,Hons or Grater,25.0,Yes,,Yes,Yes,,Yes,Broadband,3,4,Yes,Private,Urban,Female,Yes,Computer
240,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,Yes,Public,Urban,Male,No,Mobile
241,Hons or Grater,,Yes,Yes,No,No,,Yes,Broadband,4,3,No,,,Male,,Computer
242,Hons or Grater,,,Yes,No,Yes,Urban,Yes,Broadband,3,4,Yes,,Urban,Female,No,Computer
243,Hons or Grater,,Yes,Yes,No,No,,Yes,Broadband,5,3,No,,,,Yes,Mobile
244,Upto HSC,,,,No,No,Urban,Yes,Broadband,3,3,No,,,Female,,Computer
245,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,4,3,No,Public,Rural,Male,No,Computer
246,Hons or Grater,,Yes,,Yes,Yes,,Yes,Broadband,5,2,Yes,,Urban,,Yes,Mobile
247,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,,,,Yes,Computer
248,Hons or Grater,,Yes,Yes,No,Yes,,Yes,Broadband,3,3,No,,,Male,No,Computer
249,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Computer
250,Hons or Grater,,,,Yes,No,,Yes,Broadband,3,2,No,Private,Urban,,Yes,Computer
251,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,2,No,Private,Urban,Male,Yes,Computer
252,Hons or Grater,,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,4,No,,,,Yes,Computer
253,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,,,,Yes,Computer
254,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,,,,Yes,Computer
255,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Private,,,Yes,Computer
256,Hons or Grater,,Yes,Yes,No,Yes,,No,Broadband,4,2,No,Public,,,Yes,Computer
257,Upto HSC,18.0,No,Yes,No,No,Rural,Yes,Broadband,6,4,Yes,Private,Urban,Male,,Computer
258,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Male,Yes,Computer
259,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Female,Yes,Mobile
260,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Mobile
261,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Urban,Female,Yes,Computer
262,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,6,3,Yes,Public,Urban,Male,Yes,Mobile
263,Upto HSC,17.0,No,Yes,No,No,Rural,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Computer
264,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Mobile
265,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,5,3,No,Private,Rural,Male,No,Mobile
266,Upto HSC,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,5,2,No,Private,Urban,Male,No,Mobile
267,Hons or Grater,,Yes,Yes,Yes,Yes,Urban,No,Broadband,4,3,No,,,Female,,Mobile
268,Upto HSC,23.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Mobile
269,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,Yes,Public,Rural,Male,,Mobile
270,Upto HSC,24.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,3,Yes,Private,Rural,Male,Yes,Mobile
271,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,,Computer
272,Upto HSC,25.0,No,Yes,No,Yes,Rural,No,Mobile Internet,5,3,No,Public,Rural,Female,No,Mobile
273,Upto HSC,18.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Female,Yes,Mobile
274,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,Yes,Private,Urban,Male,No,Computer
275,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Urban,Female,No,Mobile
276,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,Yes,Private,Urban,Female,,Computer
277,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Private,Urban,Male,No,Computer
278,Upto HSC,17.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,3,Yes,Private,Rural,Male,No,Computer
279,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,5,2,No,Public,Rural,Female,No,Computer
280,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,No,Private,Urban,Male,,Mobile
281,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,Yes,Public,Urban,Female,Yes,Computer
282,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Male,,Computer
283,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,2,No,Public,Rural,Male,Yes,Computer
284,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,No,Private,Rural,Female,No,Mobile
285,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Rural,Male,No,Computer
286,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Broadband,3,3,No,Private,Rural,Male,Yes,Computer
287,Upto HSC,19.0,No,Yes,Yes,Yes,Rural,No,Mobile Internet,6,3,No,Public,Rural,Male,Yes,Computer
288,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Mobile
289,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Male,Yes,Computer
290,Upto HSC,18.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,4,Yes,Private,Rural,Male,Yes,Computer
291,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,2,Yes,Public,Rural,Male,Yes,Mobile
292,Upto HSC,16.0,No,Yes,No,No,Rural,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Computer
293,Upto HSC,21.0,No,Yes,Yes,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Female,Yes,Mobile
294,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,2,No,Public,Rural,Male,Yes,Computer
295,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,2,Yes,Public,Urban,Male,Yes,Mobile
296,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
297,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Urban,Male,,Mobile
298,Upto HSC,22.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,3,No,Public,Rural,Female,Yes,Computer
299,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,6,3,No,Public,Rural,Male,Yes,Mobile
300,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Private,Rural,Male,No,Computer
301,Hons or Grater,24.0,No,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Female,,Mobile
302,Hons or Grater,25.0,No,Yes,Yes,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Mobile
303,Hons or Grater,22.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,6,3,Yes,Public,Urban,Male,Yes,Computer
304,Upto HSC,19.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,2,No,Private,Urban,Male,Yes,Mobile
305,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Broadband,3,4,No,Private,Urban,Male,No,Computer
306,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Male,No,Mobile
307,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,No,Mobile
308,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Private,Urban,Male,No,Mobile
309,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,No,Public,Rural,Male,,Mobile
310,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,3,No,Public,Rural,Female,Yes,Computer
311,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,2,Yes,Private,Urban,Male,No,Computer
312,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,Yes,Private,Rural,Female,Yes,Mobile
313,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,3,No,Public,Rural,Male,Yes,Mobile
314,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Public,Rural,Male,Yes,Computer
315,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Urban,Male,No,Computer
316,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,No,Private,Urban,Female,No,Computer
317,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Male,Yes,Mobile
318,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,No,Private,Urban,Female,Yes,Computer
319,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,4,Yes,Private,Urban,Female,Yes,Mobile
320,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Male,No,Computer
321,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Rural,Female,Yes,Computer
322,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Private,Urban,Male,Yes,Computer
323,Hons or Grater,25.0,No,Yes,No,No,Urban,No,Mobile Internet,6,2,No,Public,Rural,Male,No,Computer
324,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,Female,Yes,Computer
325,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,No,Private,Rural,Female,,Mobile
326,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,4,No,Private,Rural,Male,No,Mobile
327,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Mobile
328,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,Yes,Private,Rural,Female,Yes,Computer
329,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Female,Yes,Computer
330,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,No,Private,Rural,Male,No,Mobile
331,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Male,Yes,Mobile
332,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,No,Public,Rural,Male,No,Computer
333,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,2,No,Public,Rural,Female,Yes,Computer
334,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,4,No,Public,Rural,Male,No,Computer
335,Hons or Grater,25.0,No,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Mobile
336,Hons or Grater,25.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,Yes,Public,Rural,Female,Yes,Computer
337,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Male,No,Mobile
338,Hons or Grater,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Mobile
339,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Female,No,Mobile
340,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,2,Yes,Public,Urban,Female,Yes,Mobile
341,Hons or Grater,24.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Mobile
342,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Female,Yes,Computer
343,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
344,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,4,No,Public,Rural,Male,Yes,Computer
345,Hons or Grater,24.0,Yes,,No,Yes,Urban,Yes,Broadband,5,3,No,,,,No,Mobile
346,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,3,No,Public,Rural,Male,,Mobile
347,Hons or Grater,22.0,No,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Public,Rural,Female,Yes,Mobile
348,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,No,Public,Rural,Female,,Mobile
349,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,Yes,Private,Rural,Male,,Mobile
350,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,5,2,No,Public,Rural,Male,Yes,Computer
351,Hons or Grater,25.0,No,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Public,Rural,Male,Yes,Computer
352,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Rural,Female,Yes,Computer
353,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Private,Rural,Female,No,Computer
354,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Female,Yes,Computer
355,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,2,No,Private,Rural,Male,Yes,Mobile
356,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,No,Mobile
357,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Female,Yes,Computer
358,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,6,4,No,Private,Urban,Female,No,Computer
359,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,No,Private,Rural,Male,Yes,Mobile
360,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,2,No,Private,Rural,Male,Yes,Mobile
361,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,4,4,No,Public,Rural,Male,No,Mobile
362,Hons or Grater,25.0,No,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Public,Rural,Male,No,Mobile
363,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,5,2,Yes,Public,Urban,Male,Yes,Computer
364,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Public,Rural,Male,No,Mobile
365,Hons or Grater,25.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,Yes,Public,Rural,Female,Yes,Mobile
366,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Computer
367,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Computer
368,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,Yes,Computer
369,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,3,Yes,Public,Urban,Female,Yes,Mobile
370,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,2,No,Public,Rural,Female,Yes,Computer
371,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,3,No,Private,Rural,Male,Yes,Computer
372,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Mobile
373,Upto HSC,19.0,No,Yes,Yes,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Computer
374,Hons or Grater,23.0,Yes,Yes,No,Yes,Rural,No,Broadband,6,3,Yes,Public,Rural,Female,No,Computer
375,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,2,No,Private,Rural,Male,,Computer
376,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Urban,Female,Yes,Computer
377,Hons or Grater,25.0,No,Yes,No,No,Urban,No,Mobile Internet,3,4,No,Public,Rural,Male,Yes,Computer
378,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,4,2,No,Private,Rural,Female,Yes,Computer
379,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,2,No,Private,Rural,Male,Yes,Mobile
380,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,Yes,Computer
381,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
382,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Private,Urban,Female,No,Computer
383,Upto HSC,18.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Public,Urban,Male,Yes,Mobile
384,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,2,No,Public,Rural,Male,No,Mobile
385,Hons or Grater,25.0,No,Yes,No,No,Urban,No,Mobile Internet,6,4,No,Public,Rural,Male,Yes,Computer
386,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,6,2,Yes,Public,Urban,Male,Yes,Computer
387,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Public,Rural,Male,No,Mobile
388,Upto HSC,20.0,Yes,Yes,Yes,Yes,Urban,No,Broadband,4,3,No,Public,Rural,Male,Yes,Computer
389,Hons or Grater,25.0,No,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,No,Mobile
390,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,No,Computer
391,Hons or Grater,25.0,Yes,Yes,No,No,Rural,No,Mobile Internet,5,3,Yes,Public,Rural,Female,Yes,Computer
392,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Male,No,Computer
393,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
394,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Female,No,Computer
395,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,2,Yes,Public,Urban,Female,,Mobile
396,Hons or Grater,24.0,Yes,Yes,No,No,Rural,No,Mobile Internet,4,2,Yes,Private,Urban,Female,Yes,Mobile
397,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,No,Computer
398,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,Yes,Private,Urban,Female,Yes,Mobile
399,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,3,No,Private,Urban,Female,No,Computer
400,Hons or Grater,24.0,Yes,,Yes,No,Urban,Yes,Broadband,3,3,No,,,,Yes,Computer
401,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Public,Rural,Male,,Computer
402,Hons or Grater,22.0,No,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Public,Rural,Female,Yes,Mobile
403,Hons or Grater,25.0,No,Yes,Yes,Yes,Urban,No,Mobile Internet,4,2,No,Public,Rural,Male,Yes,Mobile
404,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Private,Rural,Male,,Mobile
405,Hons or Grater,22.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,3,3,Yes,Public,Urban,Male,Yes,Computer
406,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,3,No,Public,Rural,Male,Yes,Mobile
407,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,Yes,Private,Rural,Female,Yes,Mobile
408,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Private,Rural,Female,Yes,Computer
409,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,4,Yes,Public,Rural,Female,Yes,Computer
410,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,4,Yes,Private,Urban,Male,No,Mobile
411,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,No,Computer
412,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Private,Rural,Male,Yes,Mobile
413,Hons or Grater,22.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,2,Yes,Public,Rural,Male,Yes,Computer
414,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,No,Private,Urban,Female,Yes,Mobile
415,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Urban,Female,Yes,Computer
416,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Male,No,Computer
417,Upto HSC,19.0,No,Yes,Yes,No,Rural,No,Mobile Internet,3,2,No,Public,Rural,Male,Yes,Computer
418,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Public,Rural,Male,Yes,Computer
419,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,4,Yes,Public,Urban,Female,Yes,Computer
420,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Computer
421,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,2,No,Public,Rural,Female,Yes,Computer
422,Hons or Grater,25.0,No,Yes,Yes,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,No,Computer
423,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,No,Private,Urban,Male,No,Mobile
424,Upto HSC,21.0,No,Yes,No,Yes,Urban,No,Mobile Internet,6,2,No,Public,Rural,Female,No,Computer
425,Hons or Grater,23.0,Yes,Yes,No,No,Rural,No,Broadband,3,3,Yes,Public,Rural,Female,,Mobile
426,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,No,Computer
427,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,No,Private,Urban,Female,,Computer
428,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,2,No,Public,Rural,Female,Yes,Computer
429,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Public,Rural,Male,Yes,Computer
430,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,2,No,Private,Rural,Male,Yes,Mobile
431,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,Yes,Computer
432,Hons or Grater,25.0,No,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Public,Rural,Male,,Computer
433,Hons or Grater,22.0,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,4,3,Yes,Public,Urban,Male,Yes,Computer
434,Upto HSC,18.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,No,Public,Urban,Male,Yes,Mobile
